gene,symbol,score
ENSG00000065308,TRAM2,7706.686830482966
ENSG00000112232,KHDRBS2,3423.070016592039
ENSG00000082293,COL19A1,5140.489408750928
ENSG00000112309,B3GAT2,3584.144173753168
ENSG00000185760,KCNQ5,4038.8849829807696
ENSG00000111799,COL12A1,1483.6963512202606
ENSG00000112742,TTK,6766.851475939373
ENSG00000118432,CNR1,5069.101459572106
ENSG00000135333,EPHA7,4215.428034683884
ENSG00000172461,FUT9,3637.754840282945
ENSG00000146263,MMS22L,4181.663082110987
ENSG00000271860,LOC101927314,4369.304374194808
ENSG00000164418,GRIK2,3587.010078184389
ENSG00000112320,SOBP,5154.238687510967
ENSG00000249853,HS3ST5,2411.910011204558
ENSG00000164434,FABP7,15521.723819484405
ENSG00000188580,NKAIN2,4724.704116506744
ENSG00000135547,HEY2,
ENSG00000146374,RSPO3,4323.8968123723125
ENSG00000152894,PTPRK,2799.1689638811768
ENSG00000146376,ARHGAP18,3682.1193275790893
ENSG00000164484,TMEM200A,3007.7712767658336
ENSG00000079931,MOXD1,5457.821208247179
ENSG00000135541,AHI1,2638.568911183028
ENSG00000135525,MAP7,13142.266484621594
ENSG00000112379,ARFGEF3,4352.138128791269
ENSG00000135540,NHSL1,5091.326398591845
ENSG00000146386,ABRACL,5613.8026475952
ENSG00000112414,ADGRG6,1914.6470975797104
ENSG00000152818,UTRN,4429.746948012531
ENSG00000152822,GRM1,4716.327320115128
ENSG00000111961,SASH1,6827.566385525303
ENSG00000198729,PPP1R14C,4632.667611333401
ENSG00000131016,AKAP12,4150.596428153633
ENSG00000112029,FBXO5,3432.499599930155
ENSG00000078269,SYNJ2,15755.17294681684
ENSG00000164694,FNDC1,
ENSG00000120437,ACAT2,5121.685153918279
ENSG00000112531,QKI,4724.236022516609
ENSG00000146555,SDK1,4616.251226931252
ENSG00000122584,NXPH1,21462.560703111903
ENSG00000005108,THSD7A,3654.2413149904964
ENSG00000006468,ETV1,4059.2484536377224
ENSG00000106537,TSPAN13,6687.199876038528
ENSG00000105855,ITGB8,4179.292171851431
ENSG00000136237,RAPGEF5,4363.634906536627
ENSG00000122591,HYCC1,4146.033423129974
ENSG00000122585,NPY,2609.2950514261393
ENSG00000105926,PALS2,4655.598325642732
ENSG00000146592,CREB5,4010.8992273770746
ENSG00000272568,CPVL-AS2,9930.143338808535
ENSG00000164600,NEUROD6,12167.577807060388
ENSG00000106341,PPP1R17,3446.218815605118
ENSG00000154678,PDE1C,5478.461370580511
ENSG00000173852,DPY19L1,4241.032743842607
ENSG00000122547,EEPD1,3865.166616730224
ENSG00000106536,POU6F2,2500.779188568879
ENSG00000106571,GLI3,3500.670896657782
ENSG00000164543,STK17A,3922.5448050669243
ENSG00000058404,CAMK2B,4423.570012565848
ENSG00000105968,H2AZ2,4748.932738441409
ENSG00000164742,ADCY1,4509.552241279668
ENSG00000146674,IGFBP3,14073.932837856111
ENSG00000188730,VWC2,6112.481783728147
ENSG00000106078,COBL,339271.2092664525
ENSG00000146648,EGFR,10889.37970926856
ENSG00000183166,CALN1,5070.327349903846
ENSG00000106211,HSPB1,5455.897554352937
ENSG00000075223,SEMA3C,4883.224999918392
ENSG00000186472,PCLO,5008.253449107724
ENSG00000170381,SEMA3E,4961.668717960361
ENSG00000075213,SEMA3A,3913.7186909595894
ENSG00000198822,GRM3,3897.5395477477246
ENSG00000105784,RUNDC3B,4109.801167400495
ENSG00000006634,DBF4,3823.2066406816184
ENSG00000182348,ZNF804B,12229872.334500711
ENSG00000105810,CDK6,3285.805229673675
ENSG00000105854,PON2,8308.077961052113
ENSG00000158560,DYNC1I1,4054.348386457195
ENSG00000231764,DLX6-AS1,6925.341555614144
ENSG00000105880,DLX5,8173.220062402301
ENSG00000106236,NPTX2,3258.9579828989204
ENSG00000128606,LRRC17,3202.5956865473468
ENSG00000189056,RELN,2962.100782604905
ENSG00000075790,BCAP29,4954.630181014194
ENSG00000091137,SLC26A4,5302.312387666301
ENSG00000173114,LRRN3,4086.8799432609635
ENSG00000128512,DOCK4,3950.4647352058714
ENSG00000077063,CTTNBP2,5033.905800010639
ENSG00000184408,KCND2,4624.639690809001
ENSG00000106278,PTPRZ1,6776.046042618888
ENSG00000221866,PLXNA4,5260.423753083585
ENSG00000225144,PLXNA4-AS2,4638.132229173318
ENSG00000122786,CALD1,3692.8161417824613
ENSG00000181072,CHRM2,1430.2428006720882
ENSG00000105894,PTN,5044.250328674235
ENSG00000106123,EPHB6,4421.000922216018
ENSG00000174469,CNTNAP2,4555.839082793248
ENSG00000055118,KCNH2,3722.338950292162
ENSG00000196584,XRCC2,6023.866051998432
ENSG00000130226,DPP6,4227.038987222048
ENSG00000186480,INSIG1,4077.7988859029433
ENSG00000106018,VIPR2,4519.4507532937305
ENSG00000002586,CD99,4013.8296996671706
ENSG00000183943,PRKX,4461.477954625254
ENSG00000011201,ANOS1,2212.9016471749796
ENSG00000073464,CLCN4,3992.9894389590136
ENSG00000169933,FRMPD4,5640.645527875556
ENSG00000101958,GLRA2,4205.781651862943
ENSG00000188158,NHS,755.730218186145
ENSG00000173698,ADGRG2,4532.021811713258
ENSG00000165186,PTCHD1,3595.554783251173
ENSG00000004848,ARX,2123.178766831507
ENSG00000147202,DIAPH2,5043.3162984517285
ENSG00000165194,PCDH19,2943.4348085348884
ENSG00000189108,IL1RAPL2,
ENSG00000102024,PLS3,4649.342944154497
ENSG00000009694,TENM1,2920.2248756963386
ENSG00000029993,HMGB3,4539.63923978131
ENSG00000198010,DLGAP2,4203.79647722122
ENSG00000183117,CSMD1,5898.308125458319
ENSG00000175806,MSRA,4464.533142998074
ENSG00000079459,FDFT1,5340.37108236598
ENSG00000129422,MTUS1,4631.278120724052
