gene,symbol,score
ENSG00000134107,BHLHE40,3147.648857439555
ENSG00000189229,LOC105376944,9648.371722896485
ENSG00000196277,GRM7,7883.123743503008
ENSG00000144554,FANCD2,4146.140056178614
ENSG00000157103,SLC6A1,7149.106231173081
ENSG00000196639,HRH1,
ENSG00000157150,TIMP4,
ENSG00000163520,FBLN2,1420.6518126972935
ENSG00000144596,GRIP2,1663.0798454607752
ENSG00000129810,SGO1,5584.407713750951
ENSG00000151789,ZNF385D,2797.125911154378
ENSG00000151090,THRB,19759.976695711834
ENSG00000179796,LRRC3B,4995.31004957698
ENSG00000163508,EOMES,1735.9165932618178
ENSG00000144642,RBMS3,1969.0281639522832
ENSG00000172995,ARPP21,4832.3405619084315
ENSG00000144655,CSRNP1,37122.25853877014
ENSG00000168329,CX3CR1,61638.26237581097
ENSG00000114784,EIF1B,4934.989683778914
ENSG00000168036,CTNNB1,4237.080217287895
ENSG00000187094,CCK,1229.437885891824
ENSG00000261786,,1055451.717194681
ENSG00000163808,KIF15,12080.357694897148
ENSG00000249992,TMEM158,3864.675791848982
ENSG00000163823,CCR1,
ENSG00000114646,CSPG5,4651.477083670752
ENSG00000067560,RHOA,4877.483233297096
ENSG00000007402,CACNA2D2,6163.683967854247
ENSG00000164087,POC1A,2657.3906141961593
ENSG00000114854,TNNC1,
ENSG00000168268,NT5DC2,4439.612959831723
ENSG00000243696,,26477.84581970363
ENSG00000157388,CACNA1D,2968.6799854583433
ENSG00000056736,IL17RB,9813.32630509704
ENSG00000157445,CACNA2D3,10056.02874549173
ENSG00000243715,CACNA2D3-AS1,87263.0711460075
ENSG00000168309,FAM107A,3576.433248179226
ENSG00000144724,PTPRG,4973.659690430084
ENSG00000153266,FEZF2,3240.497663926321
ENSG00000163618,CADPS,5155.877080337377
ENSG00000151276,MAGI1,2016.2637123024451
ENSG00000144749,LRIG1,7735.414326176207
ENSG00000183662,TAFA1,5405.290272151835
ENSG00000114861,FOXP1,3176.4579229109245
