,gene_name,total_highly_variable,total_velocity_genes,total_fit_loss,317s1_highly_variable,317s1_velocity_genes,317s1_fit_loss,317s2_highly_variable,317s2_velocity_genes,317s2_fit_loss,320s1_highly_variable,320s1_velocity_genes,320s1_fit_loss,320s2_highly_variable,320s2_velocity_genes,320s2_fit_loss,323s1_highly_variable,323s1_velocity_genes,323s1_fit_loss,323s2_highly_variable,323s2_velocity_genes,323s2_fit_loss,326s1_highly_variable,326s1_velocity_genes,326s1_fit_loss,326s2_highly_variable,326s2_velocity_genes,326s2_fit_loss,329s1_highly_variable,329s1_velocity_genes,329s1_fit_loss,329s2_highly_variable,329s2_velocity_genes,329s2_fit_loss,overdisp_S,overdisp_U,nonzero_S,nonzero_U
3247,Syt9,True,True,0.002765607088804245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318053932377668,0.196039787807836,0.022456709956709956,0.05330086580086581
3248,Sytl1,True,False,0.040601760149002075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982637546608921,0.829795134133174,0.04220779220779221,0.053030303030303025
3249,Sytl4,True,True,0.33646082878112793,True,True,0.0696064829826355,True,True,0.08046244829893112,True,True,0.0583706758916378,True,True,0.07398901879787445,True,True,0.08748944848775864,True,True,0.0658491998910904,True,True,0.07888491451740265,True,True,0.06914658844470978,True,True,0.06887751817703247,True,True,0.07715371996164322,0.0720933012313104,0.0834822296800955,0.09442640692640693,0.03571428571428571
3250,Sytl5,True,True,0.004433176945894957,True,False,0.665166437625885,True,False,1.1509768962860107,True,False,0.6346855163574219,True,False,1.0684834718704224,True,False,0.5367822051048279,True,False,0.6908420324325562,True,False,0.639268159866333,True,False,0.5024113059043884,True,False,0.6269475817680359,True,False,0.5950936079025269,0.996647104314437,1.04628301756737,0.07981601731601731,0.35903679653679654
3251,Tab2,,,,True,False,0.05325469747185707,True,False,0.1171078309416771,True,False,0.056434400379657745,True,False,0.09054354578256607,,,,True,False,0.06653302162885666,True,False,0.09051240980625153,True,False,0.0423227921128273,True,False,0.055870313197374344,,,,3.78043405562605,1.54532368105028,0.27056277056277056,0.09956709956709957
3252,Tacc1,True,False,0.12278646975755692,True,False,0.06391152739524841,True,False,0.04041812941431999,True,False,0.05992184579372406,True,False,0.07169493287801743,True,False,0.12343209981918335,True,False,0.11498672515153885,True,False,0.08426016569137573,True,False,0.09170587360858917,True,False,0.09037058055400848,True,False,0.07903117686510086,1.57486250083047,1.13691934061679,0.11958874458874458,0.15530303030303033
3253,Tacc3,,,,,,,True,True,0.0007034458103589714,,,,,,,,,,,,,,,,,,,,,,,,,0.165094995571603,0.180349320423179,0.038149350649350655,0.09767316017316018
3254,Tada3,,,,True,False,0.03337966650724411,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23480827263914,1.4060364800768,0.3005952380952381,0.024891774891774895
3255,Taf13,,,,,,,True,False,0.09305404871702194,True,False,0.08819584548473358,,,,,,,True,False,0.0830959603190422,True,False,0.08715895563364029,,,,True,False,0.07466985285282135,,,,1.98894585124532,0.792050890600836,0.3530844155844156,0.11444805194805195
3256,Taf15,,,,True,False,0.07612887769937515,True,False,0.19805608689785004,True,False,0.06347671896219254,True,False,0.11436956375837326,,,,True,False,0.05156943202018738,,,,True,False,0.10685930401086807,,,,True,False,0.06010102853178978,1.51124371074505,3.292819584388,0.20968614718614717,0.1893939393939394
3257,Taf1d,,,,True,False,0.061556022614240646,,,,,,,True,False,0.04972164332866669,True,False,0.09043349325656891,,,,,,,True,False,0.15875141322612762,True,False,0.04901859536767006,,,,0.760171327163577,1.31539610927513,0.11363636363636363,0.11607142857142858
3258,Taf3,,,,,,,,,,,,,True,False,0.04330316185951233,,,,,,,,,,,,,,,,,,,9.51446313803642,1.79613000319904,0.21672077922077923,0.15692640692640694
3259,Taf8,,,,,,,,,,True,False,0.03561658039689064,,,,,,,,,,,,,,,,,,,,,,4.97012761974611,2.67960363618403,0.08982683982683984,0.09145021645021646
3260,Tagln2,True,False,2.5864686965942383,True,False,0.6427540183067322,True,False,0.8638847470283508,True,False,0.7746500968933105,True,False,0.5962179899215698,True,False,0.7684923410415649,True,False,0.7078990340232849,True,False,0.8118544816970825,True,False,0.695937991142273,True,False,0.3767212927341461,True,False,0.7415982484817505,1.27675169625271,0.364734925224293,0.7610930735930737,0.17153679653679654
3261,Tanc2,True,False,0.44999605417251587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274795144640676,0.369945258549448,0.015151515151515152,0.10281385281385283
3262,Tank,,,,,,,,,,,,,,,,,,,True,False,0.03513003885746002,,,,,,,,,,,,,7.65462250002788,1.04373905120328,0.12662337662337664,0.07873376623376624
3263,Taok1,,,,True,False,0.087504543364048,True,False,0.1565258502960205,True,False,0.09000317752361298,True,False,0.09707856923341751,True,False,0.09269236773252487,True,False,0.08708833158016205,True,False,0.12878039479255676,,,,True,False,0.15433825552463531,,,,5.18202092851319,1.6411767749904,0.29247835497835495,0.21401515151515152
3264,Taok3,True,False,0.18537603318691254,True,False,0.07630452513694763,True,False,0.12249346822500229,True,False,0.06794510781764984,True,False,0.10613176226615906,True,False,0.06122041121125221,True,False,0.07969572395086288,True,False,0.0705329105257988,True,False,0.0687420442700386,True,False,0.038582105189561844,True,False,0.05589858070015907,2.08461935484499,1.29634276284602,0.25487012987012986,0.21293290043290042
